dealt,desired,first_to_play,dealer,wild_suit,player0desired,player1desired,player2desired,player3desired,result,hand1,hand2,hand3,hand4,hand5,hand6,hand7,hand8,hand9,deciding_player
9,2,2,0,0,-1,-1,0,6,1,6,34,20,34,21,1,11,32,5,0
1,0,1,0,0,-1,0,0,0,1,7,44,44,44,44,44,44,44,44,0
1,0,1,0,0,-1,0,-1,-1,1,27,44,44,44,44,44,44,44,44,2
1,0,1,0,0,-1,0,0,-1,1,3,44,44,44,44,44,44,44,44,3
2,0,1,1,4,-1,0,1,2,1,27,21,44,44,44,44,44,44,44,0
2,0,1,1,4,-1,-1,-1,-1,1,22,2,44,44,44,44,44,44,44,1
2,2,1,1,4,-1,0,1,-1,1,34,12,44,44,44,44,44,44,44,3
4,1,0,3,3,0,-1,-1,-1,1,22,3,21,26,44,44,44,44,44,1
4,2,0,3,3,0,1,-1,-1,1,24,30,16,17,44,44,44,44,44,2
5,1,2,0,0,0,-1,0,4,1,34,8,7,27,32,44,44,44,44,1
6,0,0,1,3,-1,-1,-1,-1,1,1,16,2,15,19,30,44,44,44,0
7,1,2,2,3,1,-1,7,6,1,15,6,16,19,18,10,33,44,44,1
8,1,0,3,3,2,-1,-1,-1,1,15,19,21,20,28,16,31,3,44,1
8,2,0,3,3,2,1,-1,-1,1,32,2,29,5,17,34,0,24,44,2
9,1,3,1,3,-1,-1,-1,5,1,17,4,9,25,20,18,13,3,23,0
9,1,1,3,3,-1,1,5,1,1,0,25,15,11,24,2,20,4,8,0
9,5,1,3,3,-1,1,-1,-1,1,12,13,19,9,29,28,1,23,33,2
9,1,1,3,3,-1,1,5,-1,1,3,34,21,30,7,6,26,22,31,3
5,0,1,3,4,-1,0,3,0,1,21,7,33,13,11,44,44,44,44,0
4,0,3,0,2,1,2,-1,0,1,28,27,7,29,44,44,44,44,44,2
3,0,3,1,4,0,-1,-1,2,1,14,1,28,44,44,44,44,44,44,1
2,0,0,2,2,1,-1,-1,-1,1,21,15,44,44,44,44,44,44,44,1
1,0,0,3,1,0,-1,-1,-1,1,13,44,44,44,44,44,44,44,44,1
1,0,0,3,1,0,0,-1,-1,1,17,44,44,44,44,44,44,44,44,2
9,0,3,1,1,-1,-1,-1,0,1,9,28,17,21,13,18,8,12,32,0
9,3,0,3,1,-1,-1,-1,-1,1,24,23,27,11,9,5,14,31,15,0
1,0,3,2,0,-1,-1,-1,0,1,5,44,44,44,44,44,44,44,44,0
1,0,3,2,0,0,-1,-1,0,1,28,44,44,44,44,44,44,44,44,1
2,0,3,3,2,-1,-1,-1,1,1,11,29,44,44,44,44,44,44,44,0
2,0,3,3,2,0,-1,-1,1,1,2,23,44,44,44,44,44,44,44,1
2,0,3,3,2,0,0,-1,1,1,5,18,44,44,44,44,44,44,44,2
3,1,3,0,3,-1,-1,-1,3,1,15,21,26,44,44,44,44,44,44,0
3,0,3,0,3,1,-1,-1,3,1,16,13,14,44,44,44,44,44,44,1
3,2,3,0,3,1,0,-1,3,1,29,2,17,44,44,44,44,44,44,2
4,1,2,1,2,-1,-1,0,1,1,0,32,17,16,44,44,44,44,44,0
4,0,2,1,2,-1,-1,-1,-1,1,15,21,31,6,44,44,44,44,44,2
5,3,3,2,2,-1,-1,-1,-1,1,29,8,23,25,11,44,44,44,44,3
7,0,3,0,0,-1,-1,-1,1,1,31,15,29,4,3,16,27,44,44,0
8,3,3,1,0,1,1,-1,2,1,7,23,22,26,19,17,24,11,44,2
9,1,3,3,0,-1,-1,-1,6,1,25,29,26,11,20,32,23,12,16,0
9,0,3,3,0,1,3,-1,6,1,8,34,7,1,6,24,14,15,17,2
8,2,3,2,2,-1,-1,-1,6,1,27,12,20,28,25,7,0,9,44,0
7,2,1,3,1,-1,1,5,7,1,34,8,19,4,33,26,3,44,44,0
7,1,1,3,1,-1,-1,-1,-1,1,9,18,13,16,25,5,23,44,44,1
6,2,0,0,2,2,1,-1,-1,1,26,2,19,17,27,34,44,44,44,2
5,0,2,1,1,-1,-1,2,0,1,7,30,5,17,2,44,44,44,44,0
5,2,2,1,1,-1,-1,-1,-1,1,31,9,10,19,11,44,44,44,44,2
4,0,2,2,2,1,-1,1,3,1,5,11,14,21,44,44,44,44,44,1
3,2,0,3,1,-1,-1,-1,-1,1,6,19,23,44,44,44,44,44,44,0
3,0,0,3,1,2,-1,-1,-1,1,2,1,3,44,44,44,44,44,44,1
2,1,0,0,0,-1,-1,-1,-1,1,19,34,44,44,44,44,44,44,44,0
2,0,0,0,0,1,-1,-1,-1,1,12,28,44,44,44,44,44,44,44,1
1,0,0,1,0,-1,-1,-1,-1,1,17,44,44,44,44,44,44,44,44,0
1,0,0,1,0,0,0,-1,-1,1,21,44,44,44,44,44,44,44,44,2
9,2,1,1,0,-1,2,7,0,1,6,32,13,3,34,4,15,34,2,0
9,2,1,1,0,-1,-1,-1,-1,1,17,31,29,1,10,22,11,28,18,1
9,0,1,1,0,-1,2,7,-1,1,20,21,5,0,7,16,8,27,23,3
1,0,3,2,3,-1,-1,-1,0,1,31,44,44,44,44,44,44,44,44,0
1,0,3,2,3,0,-1,-1,0,1,15,44,44,44,44,44,44,44,44,1
1,0,3,2,3,0,0,-1,0,1,23,44,44,44,44,44,44,44,44,2
2,0,3,3,0,-1,-1,-1,2,1,32,5,44,44,44,44,44,44,44,0
3,0,2,0,3,-1,-1,1,0,1,23,4,14,44,44,44,44,44,44,0
3,1,2,0,3,-1,-1,-1,-1,1,30,5,32,44,44,44,44,44,44,2
4,0,2,1,0,1,-1,0,4,1,31,29,28,19,44,44,44,44,44,1
6,0,1,3,1,-1,2,5,0,1,13,3,25,10,11,24,44,44,44,0
7,1,2,0,1,-1,-1,5,0,1,17,15,0,19,4,18,5,44,44,0
7,0,2,0,1,1,-1,5,0,1,6,22,29,1,14,7,25,44,44,1
9,0,1,2,0,-1,3,0,2,1,14,33,13,29,4,12,2,1,9,0
9,1,2,1,0,-1,-1,2,4,1,11,4,18,14,28,3,12,16,0,0
8,1,1,2,2,-1,3,3,7,1,1,4,6,23,19,16,13,34,44,0
8,3,1,2,2,-1,-1,-1,-1,1,0,28,7,31,34,25,32,27,44,1
7,1,0,3,1,-1,-1,-1,-1,1,33,13,21,5,26,34,9,44,44,0
6,0,3,0,4,-1,-1,-1,6,1,13,8,32,9,26,24,44,44,44,0
4,0,1,2,0,-1,1,2,3,1,2,9,13,4,44,44,44,44,44,0
3,0,3,3,3,1,-1,-1,0,1,11,16,4,44,44,44,44,44,44,1
3,0,3,3,3,-1,-1,-1,-1,1,33,19,32,44,44,44,44,44,44,3
2,0,0,0,0,-1,-1,-1,-1,1,10,31,44,44,44,44,44,44,44,0
2,1,0,0,0,0,-1,-1,-1,1,34,17,44,44,44,44,44,44,44,1
1,0,3,1,1,-1,-1,-1,1,1,20,44,44,44,44,44,44,44,44,0
1,0,3,1,1,0,-1,-1,1,1,25,44,44,44,44,44,44,44,44,1
1,0,3,1,1,0,0,-1,1,1,14,44,44,44,44,44,44,44,44,2
1,1,3,1,1,-1,-1,-1,-1,1,29,44,44,44,44,44,44,44,44,3
9,0,3,2,1,3,-1,-1,5,1,8,2,24,0,1,3,21,4,25,1
9,1,3,2,1,3,0,-1,5,1,26,5,14,28,16,19,29,15,7,2
9,1,0,3,1,3,-1,-1,-1,1,9,18,2,6,1,21,30,22,34,1
9,1,0,0,1,-1,-1,-1,-1,1,2,15,3,13,11,6,16,23,0,0
9,1,0,0,1,1,2,3,-1,1,31,19,17,5,20,7,12,9,8,3
